Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Have_Capacity(Ah),SoC(%),,,,,
1,60.00121035,11-12-2015 17:28:57,60.00121091,1,1,0,3.263306141,0,0,0,0,0,0,0,0,0,0.005,0,,,,,
2,70.01036703,11-12-2015 17:29:07,10.00871208,2,1,0.999833703,3.385529757,0.002779916,0,0.009378304,0,0.001327467,0,0,0,0,0.007779916,0,,,,,
3,80.0170843,11-12-2015 17:29:17,20.01542933,2,1,1.000014305,3.402204037,0.005559271,0,0.01881205,0,0.000971317,0,0,0,0,0.010559271,0,,,,,
4,90.02868993,11-12-2015 17:29:27,30.02703495,2,1,0.999833703,3.415964365,0.008340027,0,0.028292241,0,0.000841808,0,0,0,0,0.013340027,0,,,,,
5,100.0364248,11-12-2015 17:29:37,40.03476978,2,1,1.000194907,3.428267717,0.011119696,0,0.037804695,0,0.000777054,0,0,0,0,0.016119696,0,,,,,
6,110.0421283,11-12-2015 17:29:47,50.04047326,2,1,0.999833703,3.439275742,0.013898786,0,0.04734757,0,0.000712299,0,0,0,0,0.018898786,0,,,,,
7,120.0430394,11-12-2015 17:29:57,60.04138442,2,1,0.999833703,3.449636459,0.0166765,0,0.056915647,0,0.000647545,0,0,0,0,0.0216765,0,,,,,
8,130.0497283,11-12-2015 17:30:07,70.04807329,2,1,0.999833703,3.459511518,0.019455793,0,0.066517129,0,0.000647545,0,0,0,0,0.024455793,0,,,,,
9,140.0574608,11-12-2015 17:30:17,80.05580585,2,1,0.999833703,3.468739033,0.022235404,0,0.076146135,0,0.00058279,0,0,0,0,0.027235404,0,,,,,
10,150.0593402,11-12-2015 17:30:27,90.05768519,2,1,1.000014305,3.477480888,0.025013422,0,0.085794689,0,0.000550413,0,0,0,0,0.030013422,0,,,,,
11,160.0680048,11-12-2015 17:30:37,100.0663498,2,1,0.999833703,3.486060858,0.027793289,0,0.095473685,0,0.000518036,0,0,0,0,0.032793289,0,,,,,
12,170.0727815,11-12-2015 17:30:47,110.0711265,2,1,0.999833703,3.493993282,0.030572075,0,0.105171898,0,0.000485659,0,0,0,0,0.035572075,0,,,,,
13,180.073625,11-12-2015 17:30:57,120.07197,2,1,1.000014305,3.501763821,0.033349786,0,0.114888187,0,0.000485659,0,0,0,0,0.038349786,0,,,,,
14,190.0833012,11-12-2015 17:31:07,130.0816463,2,1,1.000014305,3.5090487,0.036129922,0,0.124633888,0,0.000388527,0,0,0,0,0.041129922,0,,,,,
15,200.0899928,11-12-2015 17:31:17,140.0883378,2,1,0.999833703,3.516171455,0.038909266,0,0.134396838,0,0.000453281,0,0,0,0,0.043909266,0,,,,,
16,210.0899974,11-12-2015 17:31:27,150.0883425,2,1,0.999833703,3.522970676,0.041686717,0,0.144172297,0,0.000420904,0,0,0,0,0.046686717,0,,,,,
17,220.0976594,11-12-2015 17:31:37,160.0960045,2,1,1.000014305,3.529284239,0.044466329,0,0.153973692,0,0.000420904,0,0,0,0,0.049466329,0,,,,,
18,230.1063446,11-12-2015 17:31:47,170.1046897,2,1,0.999833703,3.535435915,0.047246211,0,0.163793447,0,0.000388527,0,0,0,0,0.052246211,0,,,,,
19,240.1063706,11-12-2015 17:31:57,180.1047157,2,1,0.999833703,3.541101933,0.050023645,0,0.173620934,0,0.000388527,0,0,0,0,0.055023645,0,,,,,
20,250.1139338,11-12-2015 17:32:07,190.1122789,2,1,0.999833703,3.546282291,0.052803191,0,0.183470991,0,0.000323772,0,0,0,0,0.057803191,0,,,,,
21,260.1196768,11-12-2015 17:32:17,200.1180218,2,1,0.999653101,3.550653219,0.055582225,0,0.1933326,0,0.000259018,0,0,0,0,0.060582225,0,,,,,
22,270.1312852,11-12-2015 17:32:27,210.1296302,2,1,1.000014305,3.554214716,0.058362908,0,0.20321111,0,0.000226641,0,0,0,0,0.063362908,0,,,,,
23,280.1370374,11-12-2015 17:32:37,220.1353825,2,1,0.999833703,3.556804895,0.06114201,0,0.213092431,0,0.000161886,0,0,0,0,0.06614201,0,,,,,
24,290.1418219,11-12-2015 17:32:47,230.140167,2,1,0.999833703,3.558585644,0.063920783,0,0.222978631,0,9.71E-05,0,0,0,0,0.068920783,0,,,,,
25,300.1426104,11-12-2015 17:32:57,240.1409554,2,1,0.999833703,3.56004262,0.066698461,0,0.232865243,0,0.000129509,0,0,0,0,0.071698461,0,,,,,
26,310.1483636,11-12-2015 17:33:07,250.1467087,2,1,0.999653101,3.561013937,0.069477538,0,0.242760005,0,6.48E-05,0,0,0,0,0.074477538,0,,,,,
27,320.1551495,11-12-2015 17:33:17,260.1534945,2,1,0.999833703,3.561661482,0.072256907,0,0.25265829,0,3.24E-05,0,0,0,0,0.077256907,0,,,,,
28,330.1677056,11-12-2015 17:33:27,270.1660507,2,1,1.000014305,3.562632799,0.07503786,0,0.262564251,0,9.71E-05,0,0,0,0,0.08003786,0,,,,,
